2012,2011,Company,Country,Sector,value,turnover,netincome,totalasset,employees,price,P/E,dividend,Year End
155,138,Barclays,UK,Banks,"45,969.9",N/R,"4,669.3","2,423,170.8","141,100",3.8,9.6,2.4,31/12/2011
156,196,Hyundai Motor,South Korea,Automobiles & parts,"45,297.5","67,139.6","6,607.0","94,085.7","57,105",205.6,8.4,0.7,31/12/2011
157,128,Oil & Natural Gas,India,Oil & gas producers,"45,065.5","26,317.5","5,041.4","51,049.1","33,273",5.3,8.9,0.4,31/03/2011
158,144,Tata Consultancy Services,India,Software & computer services,"44,903.3","8,379.4","2,035.8","7,316.8","198,614",22.9,22.1,1.4,31/03/2011
159,186,Danone,France,Food producers,"44,729.3","25,023.4","2,164.5","35,926.3","101,885",69.6,19.3,2.6,31/12/2011
160,229,AIA Group,Hong Kong,Life insurance,"44,133.3",N/R,"1,602.5","113,599.0","20,000",3.7,28.2,1.1,30/11/2011
161,145,Barrick Gold,Canada,Mining,"43,392.9","13,834.1","4,334.3","48,474.9","18,400",43.4,10,1.1,31/12/2011
162,,Glencore International,UK,Mining,"43,070.6","179,640.2","3,906.4","86,165.0","61,000",6.2,9,2.1,31/12/2011
163,169,Teva Pharmaceutical,Israel,Pharmaceuticals & biotechnology,"42,899.7","17,164.6","2,586.1","50,080.1","45,754",45.5,15.7,2,31/12/2011
164,283,Simon Property Group,US,Real estate investment trusts,"42,815.0",N/R,"1,024.8","26,211.3","5,500",145.7,41.9,2.3,31/12/2011
165,235,Fanuc,Japan,Industrial engineering,"42,724.1","5,367.8","1,445.5","12,186.4","5,060",178.4,24.1,1.2,31/03/2011
166,213,Monsanto,US,Food producers,"42,704.4","11,832.0","1,607.0","18,971.0","20,600",79.8,26.9,1.4,31/08/2011
167,150,Hutchison Whampoa,Hong Kong,General industrials,"42,611.6","30,088.9","7,212.5","90,582.3","250,000",10,5.9,2.7,31/12/2011
168,237,Telstra,Australia,Fixed line telecommunications,"42,409.6","26,777.0","3,463.0","40,635.5","35,790",3.4,12.2,8.8,30/06/2011
169,158,Tesco,UK,Food & drug retailers,"42,362.4","99,075.0","4,317.1","76,679.9","492,714",5.3,9.8,4.6,26/02/2011
170,294,Las Vegas Sands,US,Travel & leisure,"42,259.9","9,410.7","1,414.4","22,244.0","40,000",57.6,36.9,,31/12/2011
171,87,EDF,France,Electricity,"42,125.4","84,594.8","3,899.0","296,891.9","151,804",22.8,10.7,6.5,31/12/2011
172,330,Starbucks,US,Travel & leisure,"42,107.5","11,700.4","1,245.7","7,204.1","149,000",55.9,34.5,0.9,10/02/2011
173,242,Accenture,US,Support services,"41,567.1","27,352.9","2,277.7","14,975.4","236,000",64.5,19,1.4,31/08/2011
174,256,Hon Hai Precision Industry,Taiwan,Electronic & electrical equipment,"41,467.8","114,007.5","2,694.1","57,134.9","961,000",3.9,15.5,,31/12/2011
175,159,China Merchants Bank,China,Banks,"41,378.1",N/R,"5,740.2","443,375.9","1,693",2,,3.4,31/12/2011
176,226,Reckitt Benckiser,UK,Household goods & home construction,"41,201.8","14,728.3","2,709.6","21,701.9","37,800",56.5,15.1,3.4,31/12/2011
177,179,Dow Chemical,US,Chemicals,"41,061.3","59,985.0","2,742.0","66,665.0","51,705",34.6,16.7,2.6,31/12/2011
178,189,Medtronic,US,Health care equipment & services,"40,780.7","15,933.0","3,096.0","30,424.0","45,000",39.2,13.7,2.3,29/04/2011
179,143,Banco Brasil,Brazil,Banks,"40,759.1",N/R,"6,508.9","516,875.5","113,810",14.2,6.2,6.7,31/12/2011
180,200,Novatek,Russia,Oil & gas producers,"40,421.5","5,435.8","3,715.3","11,885.1",,13.3,10.8,1.4,31/12/2011
181,281,Imperial Tobacco,UK,Tobacco,"40,404.5","23,654.2","2,797.5","47,453.2","38,200",40.5,14.7,3.7,30/09/2011
182,183,Surgutneftegas,Russia,Oil & gas producers,"40,383.4","23,425.1","7,239.5","51,284.6",,1,5.2,,31/12/2011
183,164,General Motors,US,Automobiles & parts,"40,161.8","150,276.0","9,190.0","144,603.0","67,000",25.7,5.6,,31/12/2011
184,209,China Unicom,Hong Kong,Mobile telecommunications,"39,942.5","32,497.3",656.7,"71,677.5","215,710",1.7,56.5,1.2,31/12/2011
185,216,Singapore Telecom,Singapore,Mobile telecommunications,"39,939.2","14,330.4","3,033.5","30,545.8","23,000",2.5,13.2,5.2,31/03/2011
186,170,Metlife,US,Life insurance,"39,719.4",N/R,"6,981.0","799,625.0","67,000",37.4,5.9,2,31/12/2011
187,192,Anadarko Petroleum,US,Oil & gas producers,"39,608.1","13,870.0","-2,649.0","51,779.0","4,800",78.3,,0.5,31/12/2011
188,193,Zurich Financial Services,Switzerland,Nonlife insurance,"39,558.8",N/R,"3,529.0","364,432.7","52,648",268.4,11.1,6.8,31/12/2011
189,239,Mizuho Financial Group,Japan,Banks,"39,415.4",N/R,"4,971.1","1,928,688.5","56,770",1.6,6.6,4.3,31/03/2011
190,272,Costco Wholesale,US,General retailers,"39,404.7","88,915.0","1,463.0","26,708.0","164,000",90.8,27.5,1,28/08/2011
191,120,France Telecom,France,Fixed line telecommunications,"39,171.4","58,649.1","5,045.4","119,860.4","165,533",14.8,7.7,12.3,31/12/2011
192,151,Potash Corporation of Saskatchewan,Canada,Chemicals,"39,130.7","8,424.0","2,978.1","16,238.0","2,003",45.6,13.1,0.6,31/12/2011
193,161,Axa,France,Nonlife insurance,"39,017.1",N/R,"5,601.1","927,898.7","96,996",16.6,8.6,5.4,31/12/2011
194,134,BBVA,Spain,Banks,"38,960.5",N/R,"3,940.4","766,007.1","110,645",7.9,9.6,6.5,31/12/2011
195,248,Target,US,General retailers,"38,952.7","69,865.0","2,929.0","46,630.0","365,000",58.3,13.6,2,28/01/2012
196,270,Southern,US,Electricity,"38,935.2","17,655.0","2,268.0","57,902.0","26,377",44.9,17.6,4.2,31/12/2011
197,187,Morgan Stanley,US,Financial services,"38,860.4",N/R,"2,359.0","749,898.0","61,899",19.6,8.7,1,31/12/2011
198,252,Danaher,US,General industrials,"38,743.1","16,090.5","2,172.3","29,949.5","59,000",56,19.9,0.2,31/12/2011
199,152,Apache,US,Oil & gas producers,"38,601.3","16,899.0","4,584.0","52,051.0","5,299",100.4,8.8,0.6,31/12/2011
200,168,Mitsubishi,Japan,Support services,"38,577.4","62,638.7","5,572.2","136,183.7","58,470",23.3,6.9,3.3,31/03/2011
201,185,Imperial Oil,Canada,Oil & gas producers,"38,436.6","29,876.4","3,304.9","24,930.3","5,085",45.4,11.6,0.9,31/12/2011
202,199,Texas Instruments,US,Technology hardware & equipment,"38,385.4","13,735.0","2,201.0","20,176.0","34,759",33.6,17.9,1.7,31/12/2011
203,182,Emerson Electric,US,Electronic & electrical equipment,"38,322.9","24,211.0","2,480.0","23,861.0","133,200",52.2,16,2.6,30/09/2011
204,233,Bank of Montreal,Canada,Banks,"37,995.9",N/R,"3,266.0","474,636.0","47,180",59.3,11.2,4.8,31/10/2011
205,221,Air Liquide,France,Chemicals,"37,791.6","18,726.7","1,988.2","30,872.0","46,200",133.1,18.9,2.4,31/12/2011
206,246,Lowe's Companies,US,General retailers,"37,621.8","50,208.0","1,824.0","33,559.0","248,000",31.4,21.9,1.7,02/03/2012
207,112,Lloyds Banking Group,UK,Banks,"37,279.2",N/R,"-4,327.7","1,500,082.4","120,449",0.5,,,31/12/2011
208,259,Gilead Sciences,US,Pharmaceuticals & biotechnology,"37,039.3","8,464.0","2,803.6","17,159.1","4,500",48.9,13.8,,31/12/2011
209,214,Blackrock,US,Financial services,"36,724.5",N/R,"2,327.0","179,890.0","10,100",204.9,16.6,2.7,31/12/2011
