2012,2011,Company,Country,Sector,value,turnover,netincome,totalasset,employees,price,P/E,dividend,Year End
470,480,PTT Exploration & Production,Thailand,Oil & gas producers,"18,779.2","5,374.4","1,417.6","13,675.0",,5.7,13.2,3,31/12/2011
471,422,Nippon Steel,Japan,Industrial metals & mining,"18,776.1","49,440.6","1,121.2","59,591.8","59,183",2.8,15.3,1.4,31/03/2011
472,335,Anglo American Platinum,South Africa,Mining,"18,764.6","6,318.6",443.9,"10,788.7","58,541",69.6,40.9,1.3,31/12/2011
473,448,Toshiba,Japan,General industrials,"18,743.4","76,974.0","1,658.3","60,423.4","202,638",4.4,11.3,1.4,31/03/2011
474,455,Fortescue Metals,Australia,Industrial metals & mining,"18,741.6","5,828.9","1,095.2","8,625.9","3,013",6,17.2,1.2,30/06/2011
475,,Man,Germany,Industrial engineering,"18,740.9","21,336.8",308.3,"22,787.6","48,986",132.9,63.3,2.2,31/12/2011
476,,Chubb,US,Nonlife insurance,"18,688.2",N/R,"1,678.0","50,865.0","10,100",69.1,12,2.3,31/12/2011
477,,American Electric Power,US,Electricity,"18,668.7","15,050.0","1,946.0","52,223.0","18,710",38.6,11.9,4.8,31/12/2011
478,451,Li & Fung,Hong Kong,Personal goods,"18,666.6","20,064.5",682.4,"10,896.3",,2.3,,3.1,31/12/2011
479,,Telus,Canada,Fixed line telecommunications,"18,662.0","10,122.5","1,195.1","19,540.2","41,100",57.9,15.7,3.7,31/12/2011
480,467,CIMB Group Holdings,Malaysia,Banks,"18,657.8",N/R,"1,271.6","94,686.2","40,244",2.5,14.8,2.8,31/12/2011
481,,Bank Rakyat Indonesia,Indonesia,Banks,"18,562.6",N/R,"1,659.1","51,399.4","40,044",0.8,10.9,1.3,31/12/2011
482,,Cielo,Brazil,Financial services,"18,520.1",N/R,971.7,"2,541.8",,33.9,,,31/12/2011
483,423,Yahoo,US,Software & computer services,"18,473.3","4,984.2","1,048.8","14,740.4","14,100",15.2,18.6,,31/12/2011
484,397,British Sky Broadcasting,UK,Media,"18,460.8","10,589.1","1,300.2","8,483.2","16,006",10.8,15.4,3.4,30/06/2011
485,274,Baker Hughes,US,Oil equipment & services,"18,352.1","19,831.0","1,739.0","24,847.0","57,700",41.9,10.6,1.4,31/12/2011
486,473,Unibail-Rodamco,France,Real estate investment trusts,"18,332.0",N/R,"1,720.0","34,193.5","1,464",199.7,10.6,5.2,31/12/2011
487,,Fresnillo,UK,Mining,"18,310.6","1,951.9",802.7,"2,819.0","2,739",25.5,22.8,3.7,31/12/2011
488,435,Shinhan Financial,South Korea,Banks,"18,310.1",N/R,"2,675.3","248,620.2",158,38.6,7.5,1.7,31/12/2011
489,385,China Everbright Bank,China,Banks,"18,297.7",N/R,"2,870.6","275,099.0","28,267",0.5,,,31/12/2011
490,,PG&E,US,Electricity,"18,284.8","14,956.0",858,"48,306.0","19,274",43.4,20.7,4.2,31/12/2011
491,425,Charles Schwab,US,Financial services,"18,269.2",N/R,864,"108,526.0","14,100",14.4,20.5,1.7,31/12/2011
492,,Williams Cos.,US,Oil equipment & services,"18,245.1","7,950.0",376,"16,502.0","4,293",30.8,48.9,2.5,31/12/2011
493,,Sumitomo,Japan,Support services,"18,175.1","37,295.2","2,408.7","86,163.9","64,886",14.5,7.5,3,31/03/2011
494,,Shire,UK,Pharmaceuticals & biotechnology,"18,155.5","4,114.3",834.7,"6,329.5","5,251",32.3,21.2,0.5,31/12/2011
495,392,Hong Kong Exchanges & Clearing,Hong Kong,Financial services,"18,151.4",N/R,655.7,"6,956.0",997,16.8,27.6,3.3,31/12/2011
496,438,Antofagasta,UK,Mining,"18,145.8","5,863.5","1,193.7","11,622.0",,18.4,,1,31/12/2011
497,415,Sandvik,Sweden,Industrial engineering,"18,053.9","13,639.4",797.1,"13,869.1","50,030",14.4,21.2,3.3,31/12/2011
498,436,Formosa Plastics,Taiwan,Chemicals,"18,021.9","7,166.6","1,179.6","11,516.7","5,925",2.9,15.5,4.4,31/12/2011
499,,Ecolab,US,Chemicals,"18,010.4","6,828.4",462.5,"18,122.8","40,200",61.7,32.3,1.2,31/12/2011
500,476,Swedbank,Sweden,Banks,"17,942.1",N/R,"1,702.5","269,092.3","18,716",15.5,11.1,5,31/12/2011
